,Unnamed: 0,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
453,533515,1572343,Open wound of head,Condition,ICD10CM,3-char nonbill code,,S01,20120101,20991231,
455,533517,1572367,Open wound of lip and oral cavity,Condition,ICD10CM,4-char nonbill code,,S01.5,20120101,20991231,
558,533620,1572409,Avulsion of eye,Condition,ICD10CM,4-char nonbill code,,S05.7,20120101,20991231,
638,533700,1572428,Epidural hemorrhage,Condition,ICD10CM,4-char nonbill code,,S06.4,20120101,20991231,
668,533730,1572457,Open wound of neck,Condition,ICD10CM,3-char nonbill code,,S11,20120101,20991231,
669,533731,1572463,Open wound of unspecified part of neck,Condition,ICD10CM,4-char nonbill code,,S11.9,20120101,20991231,
674,533736,1572487,Fracture of fifth cervical vertebra,Condition,ICD10CM,4-char nonbill code,,S12.4,20120101,20991231,
675,533737,1572492,Fracture of sixth cervical vertebra,Condition,ICD10CM,4-char nonbill code,,S12.5,20120101,20991231,
679,533741,10849,Sprain of ligaments of cervical spine,Condition,ICD10CM,4-char nonbill code,,S13.4,20140101,20991231,
687,533749,1572557,Contusion of thorax,Condition,ICD10CM,4-char nonbill code,,S20.2,20120101,20991231,
690,533752,1572599,Open wound of front wall of thorax with penetration into thoracic cavity,Condition,ICD10CM,4-char nonbill code,,S21.3,20120101,20991231,
692,533754,1572613,Open wound of unspecified part of thorax,Condition,ICD10CM,4-char nonbill code,,S21.9,20120101,20991231,
734,533796,1572760,Fracture of sacrum,Condition,ICD10CM,4-char nonbill code,,S32.1,20120101,20991231,
750,533812,45592794,Fracture of ischium,Condition,ICD10CM,4-char nonbill code,,S32.6,20061230,20991231,
752,533814,11799,Dislocation of sacroiliac and sacrococcygeal joint,Condition,ICD10CM,4-char nonbill code,,S33.2,20140101,20991231,
755,533817,1572833,Injury of stomach,Condition,ICD10CM,4-char nonbill code,,S36.3,20120101,20991231,
772,533834,1572933,Fracture of upper end of humerus,Condition,ICD10CM,4-char nonbill code,,S42.2,20120101,20991231,
776,533838,1572952,Fracture of lower end of humerus,Condition,ICD10CM,4-char nonbill code,,S42.4,20120101,20991231,
781,533843,1572985,Sprain of shoulder joint,Condition,ICD10CM,4-char nonbill code,,S43.4,20120101,20991231,
784,533846,1573069,"Traumatic amputation of shoulder and upper arm, level unspecified",Condition,ICD10CM,4-char nonbill code,,S48.9,20120101,20991231,
785,533847,1573080,Physeal fracture of lower end of humerus,Condition,ICD10CM,4-char nonbill code,,S49.1,20120101,20991231,
813,533875,1573250,"Injury of other extensor muscle, fascia and tendon at forearm level",Condition,ICD10CM,4-char nonbill code,,S56.5,20120101,20991231,
814,533876,1573265,Crushing injury of elbow and forearm,Condition,ICD10CM,3-char nonbill code,,S57,20120101,20991231,
815,533877,1573286,Physeal fracture of upper end of radius,Condition,ICD10CM,4-char nonbill code,,S59.1,20120101,20991231,
884,533946,1573455,Subluxation and dislocation of other finger(s),Condition,ICD10CM,4-char nonbill code,,S63.2,20120101,20991231,
889,533951,1573609,Contusion of thigh,Condition,ICD10CM,4-char nonbill code,,S70.1,20120101,20991231,
911,533973,1573666,Fracture of lower end of femur,Condition,ICD10CM,4-char nonbill code,,S72.4,20120101,20991231,
920,533982,1573693,Injury of femoral nerve at hip and thigh level,Condition,ICD10CM,4-char nonbill code,,S74.1,20120101,20991231,
921,533983,1573699,Injury of femoral artery,Condition,ICD10CM,4-char nonbill code,,S75.0,20120101,20991231,
923,533985,1573718,Injury of unspecified blood vessel at hip and thigh level,Condition,ICD10CM,4-char nonbill code,,S75.9,20120101,20991231,
927,533989,1573768,Physeal fracture of upper end of femur,Condition,ICD10CM,4-char nonbill code,,S79.0,20120101,20991231,
930,533992,1573804,Open wound of knee and lower leg,Condition,ICD10CM,3-char nonbill code,,S81,20120101,20991231,
963,534025,1573962,Injury of other muscles and tendons at lower leg level,Condition,ICD10CM,4-char nonbill code,,S86.8,20120101,20991231,
965,534027,1573986,Physeal fracture of upper end of tibia,Condition,ICD10CM,4-char nonbill code,,S89.0,20120101,20991231,
967,534029,1574000,Physeal fracture of upper end of fibula,Condition,ICD10CM,4-char nonbill code,,S89.2,20120101,20991231,
968,534030,1574035,Other superficial injuries of foot,Condition,ICD10CM,4-char nonbill code,,S90.8,20120101,20991231,
982,534044,1574138,Sprain of foot,Condition,ICD10CM,4-char nonbill code,,S93.6,20120101,20991231,
984,534046,1574172,Injury of muscle and tendon at ankle and foot level,Condition,ICD10CM,3-char nonbill code,,S96,20120101,20991231,
985,534047,1574198,Crushing injury of ankle and foot,Condition,ICD10CM,3-char nonbill code,,S97,20120101,20991231,
986,534048,1574204,Crushing injury of foot,Condition,ICD10CM,4-char nonbill code,,S97.8,20120101,20991231,
2133,535195,10359,Fracture of vault of skull,Condition,ICD10CM,4-char nonbill code,,S02.0,20140101,20991231,
2135,535197,10691,Contusion of throat,Condition,ICD10CM,4-char nonbill code,,S10.0,20140101,20991231,
2136,535198,1572639,Sprain of ribs and sternum,Condition,ICD10CM,4-char nonbill code,,S23.4,20120101,20991231,
2140,535202,1573425,Fracture of thumb,Condition,ICD10CM,4-char nonbill code,,S62.5,20120101,20991231,
2145,535207,1573518,Injury of deep palmar arch,Condition,ICD10CM,4-char nonbill code,,S65.3,20120101,20991231,
2287,535349,766440,Traumatic brain compression and herniation,Condition,ICD10CM,4-char nonbill code,,S06.A,20211001,20991231,
